username,title,business_size,validated_user,verified_current_user,review_source,date,rating,review_title,like_best,dislike,benefits
Jason R.,Senior Marketing Manager,Enterprise (>1000 emp.),No,No,G2 invite on behalf of seller,2021-06-01,5.0,"""Outstanding affiliate and partnership platform to drive incremental growth""","The Partnerize platform allows you to rapidly scale your affiliate and partnership program by finding, recruiting, and onboarding new partners. Their analytics capabilities are exceptional, so you can always get deep insights into the success of your program in no time at all. They are constantly introducing valuable new capabilities across their entire platform. It's truly an all-in-one platform that has amazing capabilities. Review collected by and hosted on G2.com.","The Partnerize platform allows you to rapidly scale your affiliate and partnership program by finding, recruiting, and onboarding new partners. Their analytics capabilities are exceptional, so you can always get deep insights into the success of your program in no time at all. They are constantly introducing valuable new capabilities across their entire platform. It's truly an all-in-one platform that has amazing capabilities. Review collected by and hosted on G2.com.",
Jessica R.,Head of Partnerships,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2021-05-26,5.0,"""Great tech with even greater people!""","The updated platform is really user friendly and customisable to exactly what we need. Every single employee I've had contact with has been more than helpful, passionate and caring which goes a long way in the partnership industry. Review collected by and hosted on G2.com.","The updated platform is really user friendly and customisable to exactly what we need. Every single employee I've had contact with has been more than helpful, passionate and caring which goes a long way in the partnership industry. Review collected by and hosted on G2.com.",
Michael B.,Digital Marketing Manager,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2021-05-26,5.0,"""Robust and innovative affiliate tech solution backed by great people.""","Partnerize provides its users the ability to manage all types partnerships in-house, whether they're traditional cost-per-action agreements or bespoke brand partnerships. Review collected by and hosted on G2.com.","Partnerize provides its users the ability to manage all types partnerships in-house, whether they're traditional cost-per-action agreements or bespoke brand partnerships. Review collected by and hosted on G2.com.",
Verified User in Marketing and Advertising,,Enterprise (>1000 emp.),No,No,Seller invite,2022-03-14,4.0,"""very responsive, always looking to improve and add new functionality and reviewing feedback we give""",Support provided for admin tasks and response time Review collected by and hosted on G2.com.,Support provided for admin tasks and response time Review collected by and hosted on G2.com.,
"Verified User in Leisure, Travel & Tourism",,Mid-Market (51-1000 emp.),No,No,Seller invite,2022-03-11,4.0,"""Working with Partnerize has made it easy for us to work with affiliates""",The platform is easy to use and we can manage partners very well and efficiently. They have developed the platform since I started using it and I now use it all the time. Review collected by and hosted on G2.com.,The platform is easy to use and we can manage partners very well and efficiently. They have developed the platform since I started using it and I now use it all the time. Review collected by and hosted on G2.com.,
"Verified User in Health, Wellness and Fitness",,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2022-03-10,4.0,"""Good agency""","Great account managers, give good recommendations Review collected by and hosted on G2.com.","Great account managers, give good recommendations Review collected by and hosted on G2.com.",
Verified User in Consumer Goods,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2021-12-16,4.0,"""Advanced Affiliate SaaS""","Partnerize allows you to dive deeper into the analytics of your affiliate program and spot trends in sales, creative, engagement, etc. Review collected by and hosted on G2.com.","Partnerize allows you to dive deeper into the analytics of your affiliate program and spot trends in sales, creative, engagement, etc. Review collected by and hosted on G2.com.",
Dannan J.,Fitness Instructor,Small Business (50 or fewer emp.),No,No,Organic,2021-03-10,4.5,"""Partnerize connects you to partners past the platform.""",Partnerize continues to educate you on the best practices to succeed in the affiliate space. They also take the time to connect you with partners on their platform but also introduce partnerships that not your average affiliate partnership. They take the connection past the platform and into the industry through brand to brand introductions as well as recommendations on who to work with on the platform. Review collected by and hosted on G2.com.,Partnerize continues to educate you on the best practices to succeed in the affiliate space. They also take the time to connect you with partners on their platform but also introduce partnerships that not your average affiliate partnership. They take the connection past the platform and into the industry through brand to brand introductions as well as recommendations on who to work with on the platform. Review collected by and hosted on G2.com.,
Verified User in Sports,,Mid-Market (51-1000 emp.),No,No,Seller invite,2022-03-25,4.5,"""Great software platform and client service""",the client Service and technical support Review collected by and hosted on G2.com.,the client Service and technical support Review collected by and hosted on G2.com.,
April R.,Partnership Manager,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2021-05-26,5.0,"""They go over and above expectations to help grow your programme""","With the support and encouragement from the team, they are there to help you grow your program and support you in doing so. The growth we have seen this year with the help from onboarding some new partners has been incredible. Review collected by and hosted on G2.com.","With the support and encouragement from the team, they are there to help you grow your program and support you in doing so. The growth we have seen this year with the help from onboarding some new partners has been incredible. Review collected by and hosted on G2.com.",
Roman B.,Digital Marketing Manager,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2024-03-06,4.5,"""Great Self-Service Affiliate Management Platform""","We've been using Partnerize for over 5 years now, and it's been a great platform to help us manage, grow, and track our affiliate marketing performance. The tracking capabilities are robust and allow us to view all major KPIs including revenue, new users, new customer acquisition, and more. The support team is always helpful and does a great job addressing any questions you have. Review collected by and hosted on G2.com.","The platform itself isn't the most intuitive to use and doesn't have the best UI/UX. It takes some playing around to figure out how to grab certain data, see how affiliates are performing, etc. Overall, though, once you become familiar with the platform, it's easy to use. Review collected by and hosted on G2.com.",
Max T.,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2023-12-06,4.0,"""good service""","Partnerize stands out with its user-friendly interface, making affiliate marketing management a breeze. The platform excels in offering a diverse range of reputable partners across various industries, coupled with powerful tracking and reporting tools. These features, combined with exceptional customer support, make Partnerize an invaluable asset for efficient and effective affiliate marketing. Review collected by and hosted on G2.com.","Partnerize stands out with its user-friendly interface, making affiliate marketing management a breeze. The platform excels in offering a diverse range of reputable partners across various industries, coupled with powerful tracking and reporting tools. These features, combined with exceptional customer support, make Partnerize an invaluable asset for efficient and effective affiliate marketing. Review collected by and hosted on G2.com.",
Verified User in Apparel & Fashion,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2024-02-07,5.0,"""Best team with exceptional support""","exceptional support, a team that is a true extension of myself, easy to use. Review collected by and hosted on G2.com.","exceptional support, a team that is a true extension of myself, easy to use. Review collected by and hosted on G2.com.",
Maanek  K.,Director of Growth Marketing E-Learning,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2023-03-07,2.5,"""Large affiliate network with extremely nebulous & confusing reporting""","The network of affiliates is highly expansive, and any consultancy/agency specializing in affiliate management will comment that Ascend/Pepperjam maintains premium-tier networks Review collected by and hosted on G2.com.","The network of affiliates is highly expansive, and any consultancy/agency specializing in affiliate management will comment that Ascend/Pepperjam maintains premium-tier networks Review collected by and hosted on G2.com.",
Aiesha M.,Owner,Small Business (50 or fewer emp.),No,No,G2 invite,2023-04-18,4.5,"""They make it easy for those starting out as affiliates""","I joined partnerize as an affiliate marketer for a few brands I personally used and believe in. Sign up was painless and even if certain companies/brands/products no longer align with me or if I no longer matter them, I'm still able to keep my Partnerize account without pressure to become an affiliate for new brands. Review collected by and hosted on G2.com.","I joined partnerize as an affiliate marketer for a few brands I personally used and believe in. Sign up was painless and even if certain companies/brands/products no longer align with me or if I no longer matter them, I'm still able to keep my Partnerize account without pressure to become an affiliate for new brands. Review collected by and hosted on G2.com.",
Joel G.,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2023-03-14,1.0,"""Capable but lacks flexibility and support""",Partnerize is a solid tracking platform and can provide deep data. Integration can be straightforward and quick via a GTM template. An available API can be used to access data not surfaced via the product UI. Review collected by and hosted on G2.com.,Partnerize is a solid tracking platform and can provide deep data. Integration can be straightforward and quick via a GTM template. An available API can be used to access data not surfaced via the product UI. Review collected by and hosted on G2.com.,
Stephanie B.,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2023-03-07,3.5,"""They are a large affiliate partner""",They are a large affiliate network and purchased Pepperjam.  You can either manage the account yourself or have managed services. They have very friendly customer service! Review collected by and hosted on G2.com.,They are a large affiliate network and purchased Pepperjam.  You can either manage the account yourself or have managed services. They have very friendly customer service! Review collected by and hosted on G2.com.,
VICTORIA D.,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2023-03-07,5.0,"""Amazing experience with Partnerize!""","I love how Partnerize is extremely easy to navigate. Their platform itself is very clear. The representatives at Partnerize are always friendly, bubbly, easy to communicate with and  are always willing to help. Review collected by and hosted on G2.com.","I love how Partnerize is extremely easy to navigate. Their platform itself is very clear. The representatives at Partnerize are always friendly, bubbly, easy to communicate with and  are always willing to help. Review collected by and hosted on G2.com.",
Sander V.,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2023-03-07,5.0,"""Top-notch affiliate network""",The technology seems to be very robust. The tracking is better than the market average and the advertisers are for us top-10 players. Review collected by and hosted on G2.com.,The technology seems to be very robust. The tracking is better than the market average and the advertisers are for us top-10 players. Review collected by and hosted on G2.com.,
David K.,DTC eCommerce Manager,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2023-03-07,4.0,"""Powerful and flexible affiliate platform""",The Partnerize platform enables us to deliver a cohesive affiliate marketing strategy in-house. Review collected by and hosted on G2.com.,The Partnerize platform enables us to deliver a cohesive affiliate marketing strategy in-house. Review collected by and hosted on G2.com.,
Wesley W.,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2023-03-08,3.5,"""Good Platform, but Limited""",The dashboard is easy to navigate and assets are accessible. Offers campaigns for several retail and travel merchants. Review collected by and hosted on G2.com.,The dashboard is easy to navigate and assets are accessible. Offers campaigns for several retail and travel merchants. Review collected by and hosted on G2.com.,
Wesley W.,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2023-03-09,3.0,"""Good Self-Service Platform""",It does the job without the unused extra features. Works well for managing a self-service partner program. Review collected by and hosted on G2.com.,It does the job without the unused extra features. Works well for managing a self-service partner program. Review collected by and hosted on G2.com.,
Anthony  G.,,Enterprise (>1000 emp.),No,No,G2 invite on behalf of seller,2023-03-07,5.0,"""Partnerize - Partnership Marketing has never been so easy!""","Working with partnerize for 5+ years, moving away from a traditional account managed network. PZ tech is easy to use and super reliable. Review collected by and hosted on G2.com.","Working with partnerize for 5+ years, moving away from a traditional account managed network. PZ tech is easy to use and super reliable. Review collected by and hosted on G2.com.",
Marissa B.,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2023-03-14,4.0,"""Comprehensive affiliate platform""",Commission tracking; payment statuses; option to utilize banner ads Review collected by and hosted on G2.com.,Commission tracking; payment statuses; option to utilize banner ads Review collected by and hosted on G2.com.,
Sam H.,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2023-03-07,4.5,"""Great service and Awesome Product""",The best part if their team and the amount of service they provide. They complete weekly reports updating you on all things happening in your account and are very pleasant to work with. Review collected by and hosted on G2.com.,The best part if their team and the amount of service they provide. They complete weekly reports updating you on all things happening in your account and are very pleasant to work with. Review collected by and hosted on G2.com.,
Rachel L.,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2023-03-08,4.0,"""Easy Partnership""",Communication is easy and the platform is simple to navigate. Review collected by and hosted on G2.com.,Communication is easy and the platform is simple to navigate. Review collected by and hosted on G2.com.,
Chloe M.,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2023-03-09,2.5,"""The platform works fine but reporting could be improved""",One central place to manage the affiliate program Review collected by and hosted on G2.com.,One central place to manage the affiliate program Review collected by and hosted on G2.com.,
Pauline T.,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2023-03-07,4.0,"""Decent Affiliate Platform""","Many partners available, responsive and supportive staff. Review collected by and hosted on G2.com.","Many partners available, responsive and supportive staff. Review collected by and hosted on G2.com.",
Emanuela G.,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2023-03-08,4.0,"""Good platform with a lot of functions""",all the functionalisties you can have (different tracking for all kpi) Review collected by and hosted on G2.com.,all the functionalisties you can have (different tracking for all kpi) Review collected by and hosted on G2.com.,
Andrew C.,"Director, Apparel Marketing",Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2023-03-14,5.0,"""Great partnership and support!""",They are knowledgeable about all trends within the ever-changing affiliate space. Review collected by and hosted on G2.com.,They are knowledgeable about all trends within the ever-changing affiliate space. Review collected by and hosted on G2.com.,
Dan V.,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2023-03-12,3.5,"""Good but pricey""",Plattform and software is strong. The tools are strong. Review collected by and hosted on G2.com.,Plattform and software is strong. The tools are strong. Review collected by and hosted on G2.com.,
Richard B.,,Mid-Market (51-1000 emp.),No,No,G2 invite on behalf of seller,2023-03-09,3.5,"""Good to work with, very friendly and willing to find solutions""","Great team to work with, always try to find ways to help improve their services and overall performance Review collected by and hosted on G2.com.","Great team to work with, always try to find ways to help improve their services and overall performance Review collected by and hosted on G2.com.",
Michael C.,"Internet Marketer Leisure, Travel & Tourism",Small Business (50 or fewer emp.),No,No,G2 invite,2022-09-01,3.5,"""Good selection of suppliers to work with - Confusing layout""",High quality partner sites.  I found some very good partners within multiple niches to work with at Partnerize. Support is good and answers questions quickly and clearly. Review collected by and hosted on G2.com.,High quality partner sites.  I found some very good partners within multiple niches to work with at Partnerize. Support is good and answers questions quickly and clearly. Review collected by and hosted on G2.com.,
Madara P.,Head of Partnership Marketing,Mid-Market (51-1000 emp.),No,No,Seller invite,2022-03-14,4.5,"""Self serve platform to bring your partnerships to the next level""",We have a mature affiliate and brand partnership program which needed a platform that will be able to bring it to the next level. Having worked with a network for nearly 20 years we decided that Partnerize is the right platform for us to move on to. The migration was seamless and Partnerize accommodated many of our bespoke needs. The client success team is very responsive and attentive. Review collected by and hosted on G2.com.,We have a mature affiliate and brand partnership program which needed a platform that will be able to bring it to the next level. Having worked with a network for nearly 20 years we decided that Partnerize is the right platform for us to move on to. The migration was seamless and Partnerize accommodated many of our bespoke needs. The client success team is very responsive and attentive. Review collected by and hosted on G2.com.,
Verified User in Retail,,Small Business (50 or fewer emp.),No,No,G2 invite on behalf of seller,2022-07-28,4.0,"""Technically and practically efficient platform solution to track affiliates across key KPIs.""","Techincal support is second to none - well versed in server to server, app tracking, etc. Review collected by and hosted on G2.com.","Techincal support is second to none - well versed in server to server, app tracking, etc. Review collected by and hosted on G2.com.",
